362,Standard Glass,2025-01-06,140,142.2,410.05,416.49,1.6
363,Indobell Insula,2025-01-06,46,67,10.14,14.77,45.7
364,Fabtech Tec Cle,2025-01-03,85,302.8,27.74,98.83,256.3
365,Parmeshwar Meta,2025-01-02,61,164.35,24.74,66.66,169.4
366,Davin Sons Reta,2025-01-02,55,43,8.78,6.86,-21.9
367,Leo Dryfruits,2025-01-01,52,63,25.12,30.43,21.1
368,Indo Farm Equip,2024-12-31,215,204,260.15,246.84,-5.1
369,Technichem Orga,2024-12-31,55,52,25.25,23.87,-5.5
370,Citichem India,2024-12-27,70,23.4,12.6,4.21,-66.6
371,Anya Polytech,2024-12-26,14,19.55,44.8,62.56,39.6
372,Unimech Aerospa,2024-12-23,785,897.8,500,571.85,14.4
373,Senores Pharma,2024-12-20,391,842.8,582.11,1254.74,115.6
374,Carraro India,2024-12-20,704,564.3,1250,1001.95,-19.8
375,Ventive Hospit,2024-12-20,643,767.05,1600.05,1908.74,19.3
376,NewMalayalam St,2024-12-19,90,30,41.76,13.92,-66.7
377,Sanathan Tex,2024-12-19,321,438,550,750.47,36.4
378,Concord Enviro,2024-12-19,701,455.7,500.33,325.25,-35
379,Transrail Light,2024-12-19,432,544.95,838.91,1058.25,26.1
380,DAM Capital Adv,2024-12-19,283,215.95,840.25,641.17,-23.7
381,Mamata Machine,2024-12-19,243,413.2,179.39,305.04,70
382,Identical Brain,2024-12-18,54,22.2,19.95,8.2,-58.9
383,NACDAC Infra,2024-12-17,35,36.8,10.01,10.52,5.1
384,Intl Gemmo Inst,2024-12-13,417,323.35,4225.21,3276.31,-22.5
385,Hamps Bio,2024-12-13,51,18.5,6.22,4.51,-27.5
386,Yash Highvolt,2024-12-12,146,397.05,110.01,299.18,172
387,Inventurus Know,2024-12-12,1329,1673.35,2497.92,3145.15,25.9
388,One Mobikwik,2024-12-11,279,227.1,572,465.6,-18.6
389,Sai Life Scienc,2024-12-11,549,973.65,3042.62,5396.08,77.3
390,Vishal Mega Mar,2024-12-11,78,131.5,8000,13487.18,68.6
391,Supreme Facilit,2024-12-11,76,30,50,19.74,-60.5
392,Toss the Coin,2024-12-10,182,369,9.17,18.6,102.8
393,Dhanlaxmi Crop,2024-12-09,55,30.9,23.8,13.37,-43.8
394,Jungle Camps,2024-12-09,72,49,29.42,20.02,-32
395,Emerald Tyre,2024-12-05,95,104,49.26,53.93,9.5
396,Nisus Finance,2024-12-04,180,305,114.24,193.57,69.4
