227,INE034D01049,,,,,N,,,,
228,INE034F01010,,,,,,,,,
229,INE034S01021,,,,,N,,,,
230,INE035801013,,,,,,Y,,,
231,INE035D01020,,,,,,,,,
232,INE035S01028,,,,,,,,,
233,INE036B01030,,,,,Y,Y,Y,Y,Y
234,INE036D01028,Y,,,,Y,Y,Y,Y,Y
235,INE037A01022,,,,,,,,,
236,INE037B01020,,,,,,Y,Y,,
237,INE037C01010,,,,,,,,,
238,INE037Z01029,,,,,,,,,
239,INE038A01020,Y,,,Y,Y,Y,Y,Y,Y
240,INE038B01010,,,,,N,,,,
241,INE038F01029,,,,,,,,,
242,INE039A01010,,,,,,,,,
243,INE039B01026,,,,,,Y,Y,,
244,INE039C01032,Y,,,,Y,Y,Y,Y,Y
245,INE039D01014,,,,,,Y,,,
246,INE039O01029,N,,,,N,,,,
247,INE03CC01015,,,,,,Y,,,
248,INE03EI01018,,,,,,,,,
249,INE03HW01020,,,,,N,,,,
250,INE03JI01017,,,,,,Y,Y,,
251,INE03KJ01013,,,,,,Y,Y,,
252,INE03NU01014,,,,,,Y,,,
253,INE03Q201024,,,,,,,,,
254,INE03QK01018,N,,,,N,,,,
255,INE03RS01027,,,,,,Y,Y,,
256,INE03YM01018,,,,,,,,,
257,INE040A01034,,,,,,,,,
258,INE040D01038,,,,,,,,,
259,INE040F01033,,,,,,Y,Y,,
260,INE040H01021,,,,,,Y,Y,,
261,INE040M01013,,,,,,Y,,,
262,INE041A01016,,,,,N,,,,
263,INE041B01014,,,,,,,,,
264,INE042A01014,,,,,Y,Y,Y,Y,Y
265,INE042B01012,,,,,,,,,
266,INE042C01010,,,,,,Y,Y,,
267,INE043A01012,,,,,,,,,
268,INE043B01028,,,,,N,,,,
269,INE043U01010,,,,,,Y,Y,,
270,INE043W01024,,,,,,,,,
271,INE044A01036,,,,Y,,Y,,,
272,INE044N01021,,,,,,,,,
273,INE045601023,,,,,,Y,Y,,
274,INE045A01017,,,,,,,,,
275,INE045B01015,N,,,,N,,,,
276,INE045J01034,,,,,N,,,,
277,INE046A01015,,,,,N,,,,
278,INE046E01025,,,,,,,,,
279,INE046W01019,,,,,Y,Y,Y,Y,Y
280,INE047A01021,,,,,Y,Y,Y,Y,Y
281,INE047B01011,,,,,N,,,,
282,INE047E01031,,,,Y,,Y,Y,,
283,INE047O01014,,,,,,,,,
284,INE048A01011,,,,,,,,,
285,INE048B01035,N,,,,N,,,,
286,INE048C01017,,,,,Y,Y,Y,Y,Y
287,INE048G01026,,,,,,,,,
288,INE049A01027,,,,,N,,,,
289,INE049B01025,,,,,,Y,Y,Y,
290,INE04AK01028,Y,,,,Y,Y,Y,Y,Y
291,INE04I401011,,,,,,,,,
292,INE04LG01015,,,,,,,,,
293,INE04Q901010,,,,,,Y,,,
294,INE04TZ01018,,,,,,Y,,,
295,INE04VU01023,,,,,,Y,,,
296,INE04VX01019,Y,Y,,,Y,Y,Y,Y,Y
297,INE050001010,,,,,N,,,,
298,INE050401020,,,,,,,,,
299,INE050A01025,,,,,,Y,Y,,
300,INE050B01023,,,,,,Y,Y,Y,
301,INE050E01027,N,,,,N,,,,
302,INE050H01012,,,,,,,,,
303,INE050L01048,,,,,,Y,,,
304,INE050M01012,,,,,,,,,
305,INE050N01010,,,,,,Y,Y,,
306,INE051B01021,,,,,,,,,
307,INE051G01012,,,,Y,,Y,Y,,
308,INE051N01018,,,,,,Y,Y,,
309,INE052001026,,,,,,,,,
310,INE052A01021,,,,,N,,,,
311,INE052B01011,,,,,N,,,,
312,INE052E01015,,,,N,,,,,
313,INE052I01032,,,,,N,,,,
314,INE052T01013,,,,,,Y,Y,Y,
315,INE052V01019,,,,,,Y,,,
316,INE053A01029,,,,,,,,,
317,INE053D01015,,,,,,,,,
318,INE053F01010,,,,,,Y,Y,,
319,INE054301028,,,,,N,,,,
