141,9,Const-Civil-Divers,20,43737,-529.38,-1.2,25779,8,381.81,.9,-1414,-3.1,-7714,-15,-11175,-20.4,-21130,-32.6,I51000T51910,51190
142,4,Cotton Composite Tex,10,43683,31.45,.1,17162,4,-509.29,-1.2,-3256,-6.9,-6089,-12.2,-12116,-21.7,-7299,-14.3,I26100T26790,26120
143,9,Chemical-Gen,6,43628,-1290,-2.9,16293,9,-1821,-4,1466,3.5,-2382,-5.2,1170,2.8,-2109,-4.6,I21100T21490,21300
144,10,Highway-BOT/Toll,9,42854,-451.7,-1,23038,10,-454.26,-1,-1247,-2.8,-3330,-7.2,-7621,-15.1,-12885,-23.1,I51000T51910,51121
145,1,Multi-Consumer/Indl,2,42646,-1631,-3.7,11006,1,-89.93,-.2,956.66,2.3,5564,15,6110,16.7,3820,9.8,I23000T23090,23090
146,5,Steel Castings/Found,20,41191,-262.18,-.6,17329,5,-415.04,-1,-1621,-3.8,543.22,1.3,258.64,.6,1196,3,I31000T31190,31130
147,5,Branded Foods,29,41182,-287.63,-.7,12170,6,-1408,-3.3,-191.53,-.5,7066,20.7,6391,18.4,7578,22.6,I11200T12390,12130
148,9,NBFC-Infra Finance,1,40312,-266.88,-.7,11384,10,1840,4.8,2879,7.7,-313.04,-.8,-4493,-10,-17354,-30.1,I72000T72190,72170
149,7,Travel Online Portal,5,40063,-612.65,-1.5,26209,6,-1015,-2.5,-21.83,-.1,-3122,-7.2,7440,22.8,-1326,-3.2,I61100T61490,61411
150,8,Auto-Body Buildimg,4,39933,-802.09,-2,14806,8,-110.34,-.3,3560,9.8,-4528,-10.2,-2486,-5.9,-11138,-21.8,I24000T24190,24160
151,2,Logistics-3PLP-CFA,23,38630,-57.04,-.1,33728,1,812.77,2.1,833.81,2.2,-3317,-7.9,3037,8.5,6748,21.2,I62200T62390,62301
152,10,Alkalies,10,38022,-27.02,-.1,21962,8,-2.21,0,-2356,-5.8,-8831,-18.8,-10148,-21.1,-14122,-27.1,I21100T21490,21130
153,8,Coaching Classes,5,37700,111.55,.3,10678,10,378.52,1,-1618,-4.1,37077,5952.1,36914,4692.1,35109,1354.6,I61100T61490,61111
154,2,Registrars/RTA,2,37116,-361.39,-1,32866,1,244.31,.7,-575.16,-1.5,-154.22,-.4,-6089,-14.1,-11402,-23.5,I63000T64990,64033
155,6,Dairy Products,5,36829,-256.8,-.7,13465,5,415.44,1.1,-1941,-5,332.04,.9,-291.96,-.8,1390,3.9,I11200T12390,11350
156,10,NBFC-Cons/Micro Fin ,13,36421,128.29,.4,16628,9,2361,6.9,282.37,.8,-2071,-5.4,337.31,.9,8031,28.3,I72000T72190,72140
157,9,Power Equipment,6,36213,-520.42,-1.4,16001,9,920.87,2.6,-205.68,-.6,-2965,-7.6,-6551,-15.3,-10465,-22.4,I52100T52390,52320
158,6,Metal-Ferrous-Divers,4,35936,-355.49,-1,11349,6,271.23,.8,3783,11.8,-1024,-2.8,8367,30.3,5794,19.2,I31000T31190,31190
159,1,Abrasives,4,35863,-73.01,-.2,18337,1,262.53,.7,-72.27,-.2,-2643,-6.9,-4825,-11.9,-12564,-25.9,I25300T25390,25310
160,9,CRAMS-Formulations,4,35537,45.59,.1,18963,9,665.5,1.9,1069,3.1,-4600,-11.5,-9824,-21.7,16643,88.1,I21500T21592,21504
161,3,Registry Services,5,34584,-648.26,-1.8,27228,2,96.43,.3,-2712,-7.3,-2172,-5.9,-6123,-15,-5758,-14.3,I63000T64990,64030
162,10,Bio-Herbal Formul,8,33753,-44.17,-.1,14629,10,-563.11,-1.6,-455.74,-1.3,-3017,-8.2,5984,21.5,5508,19.5,I21500T21592,21550
163,1,Ceramic/Sanitaryware,13,32046,192.52,.6,15614,1,559.49,1.8,-892.59,-2.7,-5477,-14.6,-6073,-15.9,-7555,-19.1,I50030T50140,50030
164,4,Engg-Components,21,31603,-13.32,0,16366,4,254.56,.8,-568.77,-1.8,-3019,-8.7,-5938,-15.8,-1540,-4.6,I24700T24890,24730
165,9,HW-Peripherals,12,30861,648.05,2.1,25008,8,1658,5.7,2824,10.1,1525,5.2,3145,11.3,11849,62.3,I53000T53390,53140
166,11,Graphite/Electrodes,4,30802,888.29,3,13103,11,2610,9.3,6495,26.7,5066,19.7,4803,18.5,4659,17.8,I21100T21490,21320
